Kuupäev,Hind,Garderoob-Radiaator,Köök-Nõudepesumasin,Magamis-Radiaator,Paul-Kontor,Paul-Radiaator,Saal-Patareid
2023-08-07 19:00:00+03:00,78.96,väljas,väljas,väljas,sees,väljas,väljas
2023-08-07 20:00:00+03:00,78.83,väljas,väljas,väljas,sees,väljas,väljas
2023-08-07 21:00:00+03:00,90.12,väljas,väljas,väljas,sees,väljas,väljas
2023-08-07 22:00:00+03:00,73.7,väljas,väljas,väljas,sees,väljas,väljas
2023-08-07 23:00:00+03:00,29.91,sees,väljas,sees,sees,sees,väljas
2023-08-08 00:00:00+03:00,26.22,sees,väljas,sees,sees,sees,väljas
2023-08-08 00:00:00+03:00,26.22,sees,väljas,sees,sees,sees,väljas
2023-08-08 01:00:00+03:00,-0.09,sees,väljas,sees,sees,sees,väljas
2023-08-08 02:00:00+03:00,-6.03,sees,väljas,sees,sees,sees,väljas
2023-08-08 03:00:00+03:00,-6.2,sees,väljas,sees,sees,sees,väljas
2023-08-08 04:00:00+03:00,-3.37,sees,väljas,sees,sees,sees,väljas
2023-08-08 05:00:00+03:00,-5.08,sees,väljas,sees,sees,sees,väljas
2023-08-08 06:00:00+03:00,-1.64,sees,väljas,sees,sees,sees,väljas
2023-08-08 07:00:00+03:00,0.04,sees,väljas,sees,sees,sees,väljas
2023-08-08 08:00:00+03:00,14.86,sees,väljas,sees,sees,sees,väljas
2023-08-08 09:00:00+03:00,17.24,sees,väljas,sees,sees,sees,väljas
2023-08-08 10:00:00+03:00,2.56,sees,väljas,sees,sees,sees,väljas
2023-08-08 11:00:00+03:00,-3.85,sees,väljas,sees,sees,sees,väljas
2023-08-08 12:00:00+03:00,-6.22,sees,väljas,sees,sees,sees,väljas
2023-08-08 13:00:00+03:00,-0.06,sees,väljas,sees,sees,sees,väljas
2023-08-08 14:00:00+03:00,-0.05,sees,väljas,sees,sees,sees,väljas
2023-08-08 15:00:00+03:00,-0.06,sees,väljas,sees,sees,sees,väljas
2023-08-08 16:00:00+03:00,-9.97,sees,sees,sees,sees,sees,sees
2023-08-08 17:00:00+03:00,-3.67,sees,sees,sees,sees,sees,väljas
2023-08-08 18:00:00+03:00,0.54,sees,väljas,sees,sees,sees,väljas
2023-08-08 19:00:00+03:00,90.09,väljas,väljas,väljas,sees,väljas,väljas
2023-08-08 20:00:00+03:00,95.14,väljas,väljas,väljas,sees,väljas,väljas
2023-08-08 21:00:00+03:00,97.33,väljas,väljas,väljas,sees,väljas,väljas
2023-08-08 22:00:00+03:00,90.88,väljas,väljas,väljas,sees,väljas,väljas
2023-08-08 23:00:00+03:00,1.22,sees,väljas,sees,sees,sees,väljas
2023-08-09 00:00:00+03:00,5.19,sees,sees,sees,sees,sees,sees
2023-08-09 00:00:00+03:00,5.19,sees,sees,sees,sees,sees,väljas
2023-08-09 01:00:00+03:00,10.03,sees,väljas,sees,sees,sees,väljas
2023-08-09 02:00:00+03:00,10.02,sees,väljas,sees,sees,sees,väljas
2023-08-09 03:00:00+03:00,10.01,sees,väljas,sees,sees,sees,väljas
2023-08-09 04:00:00+03:00,10.03,sees,väljas,sees,sees,sees,väljas
2023-08-09 05:00:00+03:00,10.03,sees,väljas,sees,sees,sees,väljas
2023-08-09 06:00:00+03:00,83.95,sees,väljas,sees,sees,sees,väljas
2023-08-09 07:00:00+03:00,98.16,sees,väljas,sees,sees,sees,väljas
2023-08-09 08:00:00+03:00,105.7,sees,väljas,sees,sees,sees,väljas
2023-08-09 09:00:00+03:00,106.44,sees,väljas,sees,sees,sees,väljas
2023-08-09 10:00:00+03:00,97.9,sees,väljas,sees,sees,sees,väljas
2023-08-09 11:00:00+03:00,110.05,sees,väljas,sees,sees,sees,väljas
2023-08-09 12:00:00+03:00,84.82,sees,väljas,sees,sees,sees,väljas
2023-08-09 13:00:00+03:00,110.03,sees,väljas,sees,sees,sees,väljas
2023-08-09 14:00:00+03:00,51.93,sees,väljas,sees,sees,sees,väljas
2023-08-09 15:00:00+03:00,44.83,sees,väljas,sees,sees,sees,väljas
2023-08-09 16:00:00+03:00,62.44,sees,väljas,sees,sees,sees,väljas
2023-08-09 17:00:00+03:00,71.01,sees,väljas,sees,sees,sees,väljas
2023-08-09 18:00:00+03:00,88.45,sees,väljas,sees,sees,sees,väljas
2023-08-09 19:00:00+03:00,99.26,sees,väljas,sees,sees,sees,väljas
2023-08-09 20:00:00+03:00,124.0,sees,väljas,sees,sees,sees,väljas
2023-08-09 21:00:00+03:00,146.62,sees,väljas,sees,sees,sees,väljas
2023-08-09 22:00:00+03:00,135.38,sees,väljas,sees,sees,sees,väljas
2023-08-09 23:00:00+03:00,110.09,sees,väljas,sees,sees,sees,väljas
2023-08-10 00:00:00+03:00,100.96,sees,väljas,sees,sees,sees,väljas
2023-08-10 00:00:00+03:00,100.96,sees,väljas,sees,sees,sees,väljas
2023-08-10 01:00:00+03:00,96.27,sees,väljas,sees,sees,sees,väljas
2023-08-10 02:00:00+03:00,91.99,sees,väljas,sees,sees,sees,väljas
2023-08-10 03:00:00+03:00,89.15,sees,väljas,sees,sees,sees,väljas
2023-08-10 04:00:00+03:00,79.98,sees,väljas,sees,sees,sees,väljas
2023-08-10 05:00:00+03:00,85.21,sees,väljas,sees,sees,sees,väljas
2023-08-10 06:00:00+03:00,92.39,sees,väljas,sees,sees,sees,väljas
2023-08-10 07:00:00+03:00,118.77,sees,väljas,sees,sees,sees,väljas
2023-08-10 08:00:00+03:00,159.63,väljas,väljas,väljas,väljas,väljas,väljas
2023-08-10 09:00:00+03:00,113.64,sees,väljas,sees,sees,sees,väljas
2023-08-10 10:00:00+03:00,95.48,sees,väljas,sees,sees,sees,väljas
2023-08-10 11:00:00+03:00,75.19,sees,väljas,sees,sees,sees,väljas
2023-08-10 12:00:00+03:00,66.97,sees,väljas,sees,sees,sees,väljas
2023-08-10 13:00:00+03:00,64.06,sees,väljas,sees,sees,sees,väljas
2023-08-10 14:00:00+03:00,41.31,sees,sees,sees,sees,sees,sees
2023-08-10 15:00:00+03:00,43.86,sees,sees,sees,sees,sees,väljas
2023-08-10 16:00:00+03:00,65.82,sees,väljas,sees,sees,sees,väljas
2023-08-10 17:00:00+03:00,80.18,sees,väljas,sees,sees,sees,väljas
2023-08-10 18:00:00+03:00,104.59,sees,väljas,sees,sees,sees,väljas
2023-08-10 19:00:00+03:00,104.44,sees,väljas,sees,sees,sees,väljas
2023-08-10 20:00:00+03:00,160.13,väljas,väljas,väljas,sees,väljas,väljas
2023-08-10 21:00:00+03:00,162.49,väljas,väljas,väljas,sees,väljas,väljas
2023-08-10 22:00:00+03:00,155.91,väljas,väljas,väljas,sees,väljas,väljas
2023-08-10 23:00:00+03:00,109.77,sees,väljas,sees,sees,sees,väljas
2023-08-11 00:00:00+03:00,100.02,sees,väljas,sees,sees,sees,väljas
2023-08-11 00:00:00+03:00,100.02,sees,väljas,sees,sees,sees,väljas
2023-08-11 01:00:00+03:00,109.91,sees,väljas,sees,sees,sees,väljas
2023-08-11 02:00:00+03:00,106.28,sees,väljas,sees,sees,sees,väljas
2023-08-11 03:00:00+03:00,104.79,sees,väljas,sees,sees,sees,väljas
2023-08-11 04:00:00+03:00,104.8,sees,väljas,sees,sees,sees,väljas
2023-08-11 05:00:00+03:00,104.8,sees,väljas,sees,sees,sees,väljas
2023-08-11 06:00:00+03:00,105.93,sees,väljas,sees,sees,sees,väljas
2023-08-11 07:00:00+03:00,121.5,sees,väljas,sees,sees,sees,väljas
2023-08-11 08:00:00+03:00,127.71,sees,väljas,sees,sees,sees,väljas
2023-08-11 09:00:00+03:00,103.8,sees,väljas,sees,sees,sees,väljas
2023-08-11 10:00:00+03:00,144.3,väljas,väljas,väljas,väljas,väljas,väljas
2023-08-11 11:00:00+03:00,45.84,sees,väljas,sees,sees,sees,väljas
2023-08-11 12:00:00+03:00,40.68,sees,väljas,sees,sees,sees,väljas
2023-08-11 13:00:00+03:00,144.29,väljas,väljas,väljas,väljas,väljas,väljas
2023-08-11 14:00:00+03:00,17.87,sees,sees,sees,sees,sees,sees
2023-08-11 15:00:00+03:00,18.54,sees,sees,sees,sees,sees,väljas
2023-08-11 16:00:00+03:00,58.01,sees,väljas,sees,sees,sees,väljas
2023-08-11 17:00:00+03:00,84.58,sees,väljas,sees,sees,sees,väljas
2023-08-11 18:00:00+03:00,200.0,väljas,väljas,väljas,väljas,väljas,väljas
2023-08-11 19:00:00+03:00,138.16,sees,väljas,sees,sees,sees,väljas
2023-08-11 20:00:00+03:00,139.69,sees,väljas,sees,sees,sees,väljas
2023-08-11 21:00:00+03:00,152.2,sees,väljas,sees,sees,sees,väljas
2023-08-11 22:00:00+03:00,135.56,sees,väljas,sees,sees,sees,väljas
2023-08-11 23:00:00+03:00,115.42,sees,väljas,sees,sees,sees,väljas
2023-08-12 00:00:00+03:00,101.32,sees,väljas,sees,sees,sees,väljas
2023-08-12 00:00:00+03:00,101.32,sees,väljas,sees,sees,sees,väljas
2023-08-12 01:00:00+03:00,103.54,sees,väljas,sees,sees,sees,väljas
2023-08-12 02:00:00+03:00,97.91,sees,väljas,sees,sees,sees,väljas
2023-08-12 03:00:00+03:00,97.09,sees,väljas,sees,sees,sees,väljas
